Stock_ID,Date,Instrument_Name,Price,Volume
Stock_1,2022-06-13,Apple,131.88,122210000
Stock_1,2022-06-10,Apple,137.13,91570000
Stock_1,2022-06-09,Apple,142.64,69470000
Stock_1,2022-06-08,Apple,147.96,53950000
Stock_1,2022-06-07,Apple,148.71,67810000
Stock_1,2022-06-06,Apple,146.14,71600000
Stock_1,2022-06-03,Apple,145.38,88570000
Stock_1,2022-06-02,Apple,151.21,72350000
Stock_1,2022-06-01,Apple,148.71,74290000
Stock_1,2022-05-27,Apple,149.64,90980000
Stock_1,2022-05-26,Apple,143.78,90600000
Stock_1,2022-05-25,Apple,140.52,92480000
Stock_1,2022-05-24,Apple,140.36,104130000
Stock_1,2022-05-23,Apple,143.11,117730000
Stock_1,2022-05-20,Apple,137.59,137430000
Stock_1,2022-05-19,Apple,137.35,136100000
Stock_1,2022-05-18,Apple,140.82,109740000
Stock_1,2022-05-17,Apple,149.24,78340000
Stock_1,2022-05-16,Apple,145.54,86640000
Stock_1,2022-05-13,Apple,147.11,113990000
Stock_1,2022-05-12,Apple,142.56,182600000
Stock_1,2022-05-11,Apple,146.5,142690000
Stock_1,2022-05-10,Apple,154.51,115370000
Stock_1,2022-05-09,Apple,152.06,131580000
Stock_1,2022-05-06,Apple,157.28,116130000
Stock_1,2022-05-05,Apple,156.77,130530000
Stock_1,2022-05-04,Apple,166.02,108260000
Stock_1,2022-05-03,Apple,159.48,88970000
Stock_1,2022-05-02,Apple,157.96,123060000
Stock_1,2022-04-29,Apple,157.65,131750000
Stock_1,2022-04-28,Apple,163.64,130220000
Stock_1,2022-04-27,Apple,156.57,88060000
Stock_1,2022-04-26,Apple,156.8,95620000
Stock_1,2022-04-25,Apple,162.88,96050000
Stock_1,2022-04-22,Apple,161.79,84880000
Stock_1,2022-04-21,Apple,166.42,87230000
Stock_1,2022-04-20,Apple,167.23,67930000
Stock_1,2022-04-19,Apple,167.4,67720000
Stock_1,2022-04-18,Apple,165.07,69020000
Stock_1,2022-04-14,Apple,165.29,75330000
Stock_1,2022-04-13,Apple,170.4,70620000
Stock_1,2022-04-12,Apple,167.66,79270000
Stock_1,2022-04-11,Apple,165.75,72250000
Stock_1,2022-04-08,Apple,170.09,76580000
Stock_1,2022-04-07,Apple,172.14,77600000
Stock_1,2022-04-06,Apple,171.83,89060000
Stock_1,2022-04-05,Apple,175.06,73400000
Stock_1,2022-04-04,Apple,178.44,76550000
Stock_1,2022-04-01,Apple,174.31,78750000
Stock_1,2022-03-31,Apple,174.61,103050000
Stock_1,2022-03-30,Apple,177.77,92630000
Stock_1,2022-03-29,Apple,178.96,100590000
Stock_1,2022-03-28,Apple,175.6,90370000
Stock_1,2022-03-25,Apple,174.72,80550000
Stock_1,2022-03-24,Apple,174.07,90130000
Stock_1,2022-03-23,Apple,170.21,98060000
Stock_1,2022-03-22,Apple,168.82,81530000
Stock_1,2022-03-21,Apple,165.38,95810000
Stock_1,2022-03-18,Apple,163.98,123510000
Stock_1,2022-03-17,Apple,160.62,75620000
Stock_1,2022-03-16,Apple,159.59,102300000
Stock_1,2022-03-15,Apple,155.09,92960000
Stock_1,2022-03-14,Apple,150.62,108730000
Stock_1,2022-03-11,Apple,154.73,96970000
Stock_1,2022-03-10,Apple,158.52,105340000
Stock_1,2022-03-09,Apple,162.95,91460000
Stock_1,2022-03-08,Apple,157.44,131150000
Stock_1,2022-03-07,Apple,159.3,96420000
Stock_1,2022-03-04,Apple,163.17,83820000
Stock_1,2022-03-03,Apple,166.23,76680000
Stock_1,2022-03-02,Apple,166.56,79730000
Stock_1,2022-03-01,Apple,163.2,83470000
Stock_1,2022-02-28,Apple,165.12,95060000
Stock_1,2022-02-25,Apple,164.85,91970000
Stock_1,2022-02-24,Apple,162.74,141150000
Stock_1,2022-02-23,Apple,160.07,90010000
Stock_1,2022-02-18,Apple,167.3,82770000
Stock_1,2022-02-17,Apple,168.88,69590000
Stock_1,2022-02-16,Apple,172.55,61180000
Stock_1,2022-02-15,Apple,172.79,64290000
Stock_1,2022-02-14,Apple,168.88,86190000
Stock_1,2022-02-11,Apple,168.64,98670000
Stock_1,2022-02-10,Apple,172.12,90870000
Stock_1,2022-02-09,Apple,176.28,71290000
Stock_1,2022-02-08,Apple,174.83,74830000
Stock_1,2022-02-07,Apple,171.66,77250000
Stock_1,2022-02-04,Apple,172.39,82470000
Stock_1,2022-02-03,Apple,172.9,89420000
Stock_1,2022-02-02,Apple,175.84,84910000
Stock_1,2022-02-01,Apple,174.61,86210000
Stock_1,2022-01-31,Apple,174.78,115540000
Stock_1,2022-01-28,Apple,170.33,179940000
Stock_1,2022-01-27,Apple,159.22,121960000
Stock_1,2022-01-26,Apple,159.69,108280000
Stock_1,2022-01-25,Apple,159.78,115800000
Stock_1,2022-01-24,Apple,161.62,162710000
Stock_1,2022-01-21,Apple,162.41,122850000
Stock_1,2022-01-20,Apple,164.51,91420000
Stock_1,2022-01-19,Apple,166.23,94820000
Stock_1,2022-01-14,Apple,173.07,80440000
Stock_1,2022-01-13,Apple,172.19,84510000
Stock_1,2022-01-12,Apple,175.53,74810000
Stock_1,2022-01-11,Apple,175.08,76140000
Stock_1,2022-01-10,Apple,172.19,106770000
Stock_1,2022-01-07,Apple,172.17,86710000
Stock_1,2022-01-06,Apple,172,96900000
Stock_1,2022-01-05,Apple,174.92,94540000
Stock_1,2022-01-04,Apple,179.7,99310000
Stock_1,2022-01-03,Apple,182.01,104700000
Stock_1,2021-12-31,Apple,177.57,64060000
Stock_1,2021-12-30,Apple,178.2,59770000
Stock_1,2021-12-29,Apple,179.38,62350000
Stock_1,2021-12-28,Apple,179.29,79140000
Stock_1,2021-12-27,Apple,180.33,74920000
Stock_1,2021-12-23,Apple,176.28,68360000
Stock_1,2021-12-22,Apple,175.64,92140000
Stock_1,2021-12-21,Apple,172.99,91190000
Stock_1,2021-12-20,Apple,169.75,107500000
Stock_1,2021-12-17,Apple,171.14,195920000
Stock_1,2021-12-16,Apple,172.26,150190000
Stock_1,2021-12-15,Apple,179.3,131060000
Stock_1,2021-12-14,Apple,174.33,139380000
Stock_1,2021-12-13,Apple,175.74,153240000
Stock_1,2021-12-10,Apple,179.45,115400000
Stock_1,2021-12-09,Apple,174.56,108920000
Stock_1,2021-12-08,Apple,175.08,117000000
Stock_1,2021-12-07,Apple,171.18,120410000
Stock_1,2021-12-06,Apple,165.32,107500000
Stock_1,2021-12-03,Apple,161.84,118020000
Stock_1,2021-12-02,Apple,163.76,136740000
Stock_1,2021-12-01,Apple,164.77,152420000
Stock_1,2021-11-30,Apple,165.3,174050000
Stock_1,2021-11-29,Apple,160.24,88750000
Stock_1,2021-11-24,Apple,161.94,69460000
Stock_1,2021-11-23,Apple,161.41,96040000
Stock_1,2021-11-22,Apple,161.02,117470000
Stock_1,2021-11-19,Apple,160.55,117310000
Stock_1,2021-11-18,Apple,157.87,137830000
Stock_1,2021-11-17,Apple,153.49,88810000
Stock_1,2021-11-16,Apple,151,59260000
Stock_1,2021-11-15,Apple,150,59220000
Stock_1,2021-11-12,Apple,149.99,63800000
Stock_1,2021-11-11,Apple,147.87,41000000
Stock_1,2021-11-10,Apple,147.92,65190000
Stock_1,2021-11-09,Apple,150.81,56790000
Stock_1,2021-11-08,Apple,150.44,55020000
Stock_1,2021-11-05,Apple,151.28,65460000
